PCON14CD,PCON_Name,house,salary,earnings,jsa,publicsector,degree,age,nonukborn,health,turnout
E14000551,Beckenham,93000,41573,759.5,1,12.9,66.9,92,88.9,39.8,19.9
E14000552,Bedford,94750,27105,504.5,2.9,23.9,52.6,58.3,40.2,95.2,68.5
E14000553,Bermondsey and Old South,95000,34972,641.9,2.8,18.9,33.7,18.5,2.7,10.1,7.7
E14000554,Berwick-upon-Tweed,95000,25868,503.1,1.7,17.2,13.2,45,78.3,86.3,10.5
E14000555,Bethnal Green and Bow,95000,32091,600.3,3,29.2,85.4,51.7,7.6,50.2,92.2
E14000556,Beverley and Holderness,96750,28891,528.1,1.7,33.1,96.7,38.5,22.3,34.8,28
E14000557,Bexhill and Battle,97750,25111,470.1,1.2,13.8,78.2,81.8,93,36.5,15
E14000558,Bexleyheath and Crayford,98000,33530,626,1.6,16.9,35.6,86.8,65.3,81,81.9
E14000559,Birkenhead,99999,23571,459.1,2.9,23,16.9,18.6,2.5,71.3,19.4
E14000560,"Birmingham, Edgbaston",99999,25345,488.1,3.9,36.6,79.3,15.2,98.1,32.3,3.9
E14000561,"Birmingham, Erdington",100000,23381,455.2,5.2,17.8,89.2,51.3,8,26.8,17.9
E14000562,"Birmingham, Hall Green",100000,x,503.6,4.6,18.7,98.2,61.9,85.3,56.4,81.2
E14000563,"Birmingham, Hodge Hill",100000,21042,419.6,6.1,45.5,28.1,23.4,98.9,89.8,30.4
E14000564,"Birmingham, Ladywood",100000,x,476.3,6.7,26.7,11.5,4.9,30.5,18.5,81.8
E14000565,"Birmingham, Northfield",100000,23783,454.9,3.8,28.6,11.9,16.5,14.4,61.5,62.9
E14000566,"Birmingham, Perry Barr",100750,23008,430.3,5.5,20.9,4.6,26.8,81.2,35.8,98.1
E14000567,"Birmingham, Selly Oak",102000,x,507.2,3,24.5,82.2,11.2,9.3,2.3,35
E14000568,"Birmingham, Yardley",103000,x,462.9,4,14.5,66.5,31.2,58.1,20.2,81.7
E14000569,Bishop Auckland,103250,24052,474.3,2.8,22.4,20.2,80.1,91.4,94.4,45.9
E14000570,Blackburn,104000,20564,430.1,2.9,30.3,15.2,67.3,20,71.1,92.7
E14000571,Blackley and Broughton,104500,x,407.3,3.6,34.2,13.5,35.7,13.8,55.1,81.8
E14000572,Blackpool North and Clev,105000,22110,427.2,3,41.7,45.3,18.8,20.5,17.3,52.1
E14000573,Blackpool South,105000,19390,373.1,4.1,23.1,62.3,30.7,58.3,66.1,75.2
E14000574,Blaydon,105000,25570,507,2.1,8.8,64.7,33.2,56.7,13.5,37.1
E14000575,Blyth Valley,105000,22775,460.9,3.2,13.6,78.3,98.1,85.4,92.6,37
E14000576,Bognor Regis and Littleh,105000,x,427,1.5,16.5,74.7,28.8,77.8,61.7,23.1
E14000577,Bolsover,105000,22953,419.8,1.7,15.1,36.8,32.6,20.4,95.4,97.8
E14000578,Bolton North East,105000,21846,421.2,2.9,22.5,89.2,65.3,3.3,86.8,72.3
E14000579,Bolton South East,105000,21091,408.7,2.9,25,20.1,27.9,13.2,15,70.9
E14000580,Bolton West,105995,24920,500.8,1.7,11.6,77.6,86.4,90.8,15.7,81.2
E14000581,Bootle,106000,24525,472,3.7,32.1,55.1,66.7,46.8,53.4,62.6
E14000582,Boston and Skegness,107000,22269,436.8,2.6,18.7,56.1,98.9,57.2,71,53.3
E14000583,Bosworth,107500,25237,479.2,1.1,10.6,56.5,38.9,91.3,78.6,53.7
E14000584,Bournemouth East,107500,25883,502.8,1.7,23.2,14.1,85.9,71.4,14.7,63.6
E14000585,Bournemouth West,108000,28736,507.1,1.5,12.7,83.8,10.8,26.9,11.2,47.3
E14000586,Bracknell,108250,32073,597.1,0.9,13.6,22.5,19.7,33.5,84.8,36.4
E14000587,Bradford East,108750,22016,417.6,4.9,23,2.7,22.9,33,61.7,25.3
E14000588,Bradford South,109000,21120,413.8,3.9,13.9,12.3,77.8,32,27.6,72.5
E14000589,Bradford West,109475,x,383,5.1,31.5,11.8,49.7,33.5,50.5,91.3
E14000590,Braintree,109725,30206,573.9,1.2,16.9,71.9,71.1,58,83.7,62.8
E14000591,Brent Central,109972.5,27051,500,3.7,13.1,31.6,95.8,4.6,19.2,97.3
E14000592,Brent North,110000,30690,558.9,1.8,29,53.7,64.3,88,44.8,23.1
E14000593,Brentford and Isleworth,110000,33172,604.8,1.7,10.5,58.6,21,14.7,90.5,98.8
E14000594,Brentwood and Ongar,110000,36824,655.3,1,12.9,95.7,95.2,5.7,23.8,11.3
E14000595,Bridgwater and West Some,110000,x,484.3,1.6,21,65.9,46.6,24.2,60.1,99.8
E14000596,Brigg and Goole,110000,27846,566.2,1.9,16.8,36.8,59.3,77.5,17.4,63.6
E14000597,"Brighton, Kemptown",110000,30155,525.2,2.1,29.1,55.5,74,95,7.1,61.9
E14000598,"Brighton, Pavilion",110000,30318,564.8,1.5,14.1,11.1,60.2,33.5,19.9,87.7
E14000599,Bristol East,110000,25549,463.5,2.2,19.7,53.5,49.9,81.8,2.5,14.4
E14000600,Bristol North West,110000,25157,517.5,1.9,27.1,29.1,53.4,50.8,65,21.2
E14000601,Bristol South,110000,24843,478.7,2.2,18.4,18.2,27.5,59.7,2.8,77.7
E14000602,Bristol West,110000,31111,562.6,2.3,22.9,70.9,52.2,98.8,17,93.6
E14000603,Broadland,110000,27156,526.3,0.8,9.8,96.3,21,66.4,36.8,56
E14000604,Bromley and Chislehurst,111450,37083,746.5,1.5,15.1,87.2,4.2,21.3,66.1,80
E14000605,Bromsgrove,111500,30760,575.2,1,15.1,72.8,71.6,93.8,80.4,51.7
E14000606,Broxbourne,112000,30898,603.4,1.4,9.9,5.3,68.2,45,5.7,91.7
E14000607,Broxtowe,112000,29743,550,1.4,16.6,74.3,92.1,66.3,54.2,19
E14000608,Buckingham,112500,33727,646.2,0.6,9.1,72.9,23.4,75,4.4,52
E14000609,Burnley,113725,21780,439.9,2.3,22.9,71.1,82.9,25.7,10.7,68
E14000610,Burton,113972.5,24154,462.3,1.1,16.4,20.8,3.8,92,95.8,47
E14000611,Bury North,114000,27427,526.9,1.9,23.4,40.2,55.7,80.2,41.8,26.3
E14000612,Bury South,114500,x,476.3,1.7,25.5,8.7,33.5,16,45.9,14.1
E14000613,Bury St Edmunds,115000,25505,496.4,1.1,19.4,41.8,46.1,62.2,74.4,74.7
E14000614,Calder Valley,115000,27086,528.1,1.6,10.8,36.9,77.5,29.6,58.1,90.3
E14000615,Camberwell and Peckham,115000,29783,571.8,3.5,31,91.6,74.9,87.8,63.3,76.9
E14000616,Camborne and Redruth,115000,21905,441.3,1.7,16.6,29.9,2.1,66.4,26.9,2
E14000617,Cambridge,115000,30408,569.4,0.8,12.8,76.8,88,6.2,87.8,12.5
E14000618,Cannock Chase,115000,24261,457,1.2,14.4,14,66,10,33.3,85.9
E14000619,Canterbury,115000,29986,576.9,1,17.9,97.5,61.6,68.7,55,56.7
E14000620,Carlisle,115000,22023,431.1,1.5,25.2,48.9,58.2,58.7,49.8,4.9
E14000621,Carshalton and Wallingto,115000,30990,575,1.6,26.4,56,52.3,19.6,67.9,0.4
E14000622,Castle Point,115250,29361,570.8,1.5,21,96.9,68.4,78.5,13.7,77.7
E14000623,Central Devon,115495,24265,455.1,0.7,11.6,54.8,6,63.1,84.1,82.7
E14000624,Central Suffolk and Nort,117000,29779,544.4,1,16.1,66.6,71.3,6.1,23.2,25.6
E14000625,Charnwood,117000,26411,497.1,0.9,22.2,70.4,4.1,84,58.2,88
E14000626,Chatham and Aylesford,117000,29381,517.5,2.3,14.6,87.9,69.5,56.2,20.4,88.4
E14000627,Cheadle,117500,31309,564.6,1.1,20.9,13,45.1,29.6,90.1,88.7
E14000628,Chelmsford,117500,29403,561.1,1.6,30.2,93.2,11.1,82,77.5,64
E14000629,Chelsea and Fulham,117850,39997,670.8,1.5,18.7,53.6,80.2,60.6,7.1,58.2
E14000630,Cheltenham,118000,28460,531.2,1.2,23.6,50,23.9,29.1,40,58.6
E14000631,Chesham and Amersham,118000,36283,690.3,0.7,14.2,15.5,52.2,54.9,5,14
E14000632,Chesterfield,118000,24175,492.1,2.1,32.6,53.2,44.9,5,44.8,22.8
E14000633,Chichester,118250,25873,503.9,1.1,20.8,81.3,29.7,84.4,67.5,57.2
E14000634,Chingford and Woodford G,120000,36379,707.6,2.1,17,50,48.1,76.6,40.3,17.8
E14000635,Chippenham,120000,28388,534.6,1.2,18.9,3.5,12.1,33.9,31.1,13.2
E14000636,Chipping Barnet,120000,34280,674.9,1.5,26.3,20.2,40.7,50.1,74.6,61.9
E14000637,Chorley,120000,24182,479.2,1.4,18,98.7,7.5,5.9,88.7,13.3
E14000638,Christchurch,120000,28696,524.4,0.8,13.6,39.8,28.9,99.7,90.2,99.2
E14000639,Cities of London and Wes,120000,x,786.3,1.5,11.1,46,36.1,71.2,7.3,66.2
E14000640,City of Chester,120000,27830,537,1.1,20.9,91.3,25.9,90,14.7,65.2
E14000641,City of Durham,120000,25105,478.2,1.5,36.2,86.4,11.8,83.9,71.1,71.4
E14000642,Clacton,120000,22893,426.4,3.2,26.1,40.6,6.9,90.3,55.5,78.2
E14000643,Cleethorpes,120000,26678,506.3,2.5,12.2,79.2,98.5,89.3,79.9,69.5
E14000644,Colchester,120000,27128,509.9,1.6,25.2,79.2,43.9,46.9,73.1,1
E14000645,Colne Valley,120822.5,27812,493.9,2,29,70.9,47.4,73.7,90,25.6
E14000646,Congleton,121000,27859,499.6,0.8,14.2,17.3,59.4,29,95,61.2
E14000647,Copeland,121500,35830,662,1.9,47.1,22.4,26.2,43.5,92,35.2
E14000648,Corby,121995,25630,490.4,1.3,11.6,60.2,31.7,26.6,76.9,81.8
E14000649,Coventry North East,122000,x,419.9,2.9,32.2,91.4,89.8,53.5,56.4,4.1
E14000650,Coventry North West,122000,27072,493.9,2,21.3,95.7,94.9,69.6,32,27.9
E14000651,Coventry South,122497.5,26318,523.4,2,14,20.9,58.5,92.8,33.1,77
E14000652,Crawley,123500,27784,550.4,1.3,10.9,43.7,63.3,25.1,8.6,51.5
E14000653,Crewe and Nantwich,123500,25318,492.6,1.4,11.8,89.9,31.5,61.8,0.5,79.1
E14000654,Croydon Central,123750,32038,569.1,2,24.2,81,6.1,28.4,65.1,95.4
E14000655,Croydon North,124000,28837,534.2,2.8,22.9,60,0.3,91.2,59.5,30.9
E14000656,Croydon South,124000,35105,663.2,1.3,9.8,4.8,14.5,49,59.1,47.4
E14000657,Dagenham and Rainham,124500,28334,519.6,2.8,21,72.9,49.6,81.5,65,44
E14000658,Darlington,124950,24658,464.9,3.5,27.4,41.3,76.3,99.7,96.2,92.8
E14000659,Dartford,124950,30757,573.9,1.3,14.8,19.7,89.1,94,68.9,29.6
E14000660,Daventry,124950,x,551.6,0.9,11.5,70.4,76.1,23.5,12,30
E14000661,Denton and Reddish,125000,22820,426.1,1.8,12.6,79.8,6,60.1,38.1,99.6
E14000662,Derby North,125000,27508,558,1.5,35.9,77,38.1,18.4,47.1,64.8
E14000663,Derby South,125000,25778,507.2,3.2,14.5,42.7,1.8,41.9,84.1,0.7
E14000664,Derbyshire Dales,125000,28892,505.9,0.6,26,21.1,95.9,92.3,8.4,28.4
E14000665,Devizes,125000,25640,480.3,0.8,21.2,98.7,47.9,82,35.5,92.1
E14000666,Dewsbury,125000,x,500.3,2.3,16.6,28.2,15,63.9,58,40
E14000667,Don Valley,125000,26901,519.4,2.4,21.9,80.2,98.5,90.5,12.2,27.7
E14000668,Doncaster Central,125000,23994,436,3.5,30.3,83.2,34.9,73.6,77,75.8
E14000669,Doncaster North,125000,25485,497.6,3.2,20.6,55.9,37.1,23.6,61.2,98.3
E14000670,Dover,125000,28084,538.3,2.4,25.8,18.4,48.5,16.5,46,72.5
E14000671,Dudley North,125000,21999,405.3,3.9,41.7,69.5,44.4,5.2,5.5,92.9
E14000672,Dudley South,125000,22767,441,3.3,17.5,44.4,47.8,49.2,50.8,68.8
E14000673,Dulwich and West Norwood,125000,35553,705.6,2.9,38.7,68.3,17.5,16.5,6.4,21.3
E14000674,Ealing Central and Acton,125000,36541,674.2,2.2,11.7,77.6,87.3,80.2,14.9,93
E14000675,Ealing North,125000,28297,543.4,2.3,16.8,3,93.1,15.4,95.6,21.4
E14000676,"Ealing, Southall",127000,27171,518.3,2.4,26.3,25.9,63.4,20.6,9.7,21.7
E14000677,Easington,129000,22863,438.7,3.2,20.2,3,28.7,52.5,89.7,0.9
E14000678,East Devon,129995,x,500.4,0.7,18.5,94.9,19.5,1.1,90,52.5
E14000679,East Ham,130000,26423,537.4,2.4,26,49,87.7,19.3,28.4,29.7
E14000680,East Hampshire,130000,27705,550.9,0.7,11.2,74.9,22,8.1,84.6,33
E14000681,East Surrey,130000,31330,610,0.9,11.1,14.8,79.9,4.6,86.1,37.9
E14000682,East Worthing and Shoreh,130000,24747,468.2,1.2,13.9,71.8,68.8,2.7,19.4,99
E14000683,East Yorkshire,130000,25338,499.2,2.2,19.3,1.5,90.1,93.1,61.3,76.8
E14000684,Eastbourne,130000,27327,504.8,2,24.4,77.1,41.4,96.8,47.8,87.4
E14000685,Eastleigh,130000,30058,535.5,0.9,14.1,1.5,77.7,50.1,50.3,8.5
E14000686,Eddisbury,130000,30439,574.4,1,27.3,51.9,43.6,30.8,10.5,99.5
E14000687,Edmonton,130000,27669,508.5,3.7,28.4,64.5,61.1,27.7,69.6,54.4
E14000688,Ellesmere Port and Nesto,130000,28098,460,1.8,12.3,42.5,41.9,92.1,25.2,57.4
E14000689,Elmet and Rothwell,130250,29053,555.4,1.1,15.5,85.6,62.3,76.8,58.9,70.9
E14000690,Eltham,131000,32650,659.1,2.1,30.7,54.5,27.6,74.1,37.3,46.1
E14000691,Enfield North,131500,31238,568.2,2.7,26.7,70.2,50.2,4.1,53.6,87.4
E14000692,"Enfield, Southgate",131500,31553,586.2,1.6,14,88.2,89.2,4.1,16.4,70
E14000693,Epping Forest,131750,36812,670.8,1.5,16.2,93.5,53.6,90.6,37.7,81
E14000694,Epsom and Ewell,132250,35320,636.1,0.6,17.2,88.9,96.7,17.7,89.2,98.5
E14000695,Erewash,132750,25968,504.6,2.2,20.3,40.5,7.7,39.5,67.4,69.5
E14000696,Erith and Thamesmead,133200,27206,523.1,2.6,22.6,76.8,55.3,85.3,87.3,66.8
E14000697,Esher and Walton,133500,36538,724.8,0.5,8.2,25.7,6.7,4.6,88.5,53.9
E14000698,Exeter,133750,23101,434,1,26.6,51.9,79.6,59.7,58.1,63.3
E14000699,Fareham,133972.5,30018,554.1,0.7,17.9,61.5,57.5,66.9,70.2,36
E14000700,Faversham and Mid Kent,134000,x,549.6,1.2,16.9,4,23.3,52.7,10.5,80.5
E14000701,Feltham and Heston,134950,26900,518,2,15.1,58,98.5,61.1,85.7,87.1
E14000702,Filton and Bradley Stoke,134995,32012,600.4,1,22.3,38.8,72.5,60.7,97.7,14.1
E14000703,Finchley and Golders Gre,135000,34898,651.6,1.7,9.8,95.4,28.3,53.5,88.6,60.3
E14000704,Folkestone and Hythe,135000,25975,490.6,2.3,20.6,70.1,76,50.9,67.4,98.8
E14000705,Forest of Dean,135000,25596,518.2,1.2,15.4,48.6,79.3,84.8,66.9,53.3
E14000706,Fylde,135000,30836,574.5,1.3,16.4,14.1,42.3,61.3,2.5,48.8
E14000707,Gainsborough,135000,23509,474,2.5,18,63.3,55.9,19.4,73.6,60.4
E14000708,Garston and Halewood,135000,26207,494.3,3.4,13.2,72,29.6,26.6,16.9,53.5
E14000709,Gateshead,135000,25079,499.2,3.9,28.5,90.4,60.3,6.3,59.9,87.9
E14000710,Gedling,135000,26198,488.9,2,22.7,52.9,49.5,4,59.2,39.6
E14000711,Gillingham and Rainham,135999.5,27075,529.2,2,31,22.4,38.3,19.9,44,15.1
E14000712,Gloucester,136000,24401,468.8,2.2,27.5,32,11.5,6.6,9.3,67.7
E14000713,Gosport,136050,27977,485.8,1.3,20.2,10.9,14.2,51.1,2,67.4
E14000714,Grantham and Stamford,136750,26160,484.1,1.5,15.2,66.6,44.4,97.3,15,15.7
E14000715,Gravesham,137250,28569,536.6,2,22.2,64.1,14.7,76.6,60.8,7.5
E14000716,Great Grimsby,137263.5,22125,441.3,5,21.4,65.5,74.6,44.4,27.4,4.9
E14000717,Great Yarmouth,137950,24317,425,3.4,21.2,58.7,18.9,69.7,22.1,28.4
E14000718,Greenwich and Woolwich,138000,30815,586.7,2.6,25.1,28.1,59,78.7,12.5,63.4
E14000719,Guildford,138000,31993,619.1,0.7,17.9,70.4,68.8,5.5,92.8,83.8
E14000720,Hackney North and Stoke,139500,33729,647.1,3,12.5,11.7,18.9,18.4,81.5,89.5
E14000721,Hackney South and Shored,139950,31501,574.9,3.5,13.7,84.8,54.7,69.4,20,34.7
E14000722,Halesowen and Rowley Reg,139997.5,24484,473.1,2.7,11.6,40.9,90.8,55.3,17.5,1.5
E14000723,Halifax,140000,23856,459.1,3.6,36.4,20.8,46.3,26.5,7.5,24.2
E14000724,Haltemprice and Howden,140000,31319,617.6,1.1,24.8,80.4,66.9,12.6,52.6,22.3
E14000725,Halton,140000,24360,452.8,2.8,18.1,73,82.4,67.9,35.9,40.1
E14000726,Hammersmith,140000,35885,670.8,2.6,20.1,37,33.7,39.9,42,12.2
E14000727,Hampstead and Kilburn,140000,39399,711.2,2,21.4,35.8,54.9,22.5,46.2,23.7
E14000728,Harborough,140000,26180,489.6,1,15.9,62.9,46.2,33.9,51.8,82.9
E14000729,Harlow,141995,26465,479.1,2.2,20.2,66,13.6,31.4,53,23.2
E14000730,Harrogate and Knaresboro,142000,27250,488.4,0.5,18.9,94.4,88.6,53.5,46.5,39.2
E14000731,Harrow East,142000,29508,580.7,1.4,19.9,31.9,70.9,93,30.1,51.6
E14000732,Harrow West,142500,31019,590.9,1.6,14.6,15.4,2.1,92.7,8.2,31.1
E14000733,Hartlepool,142500,24604,462.1,4.4,23.7,48.5,23.8,21.3,7.9,78
E14000734,Harwich and North Essex,142500,28775,558,1.4,13.7,69.1,85.9,29.4,96.3,36
E14000735,Hastings and Rye,142500,23784,454.9,2.7,23.6,38.5,36.5,90.2,33.1,78.9
E14000736,Havant,142750,25165,489.9,2,15.4,72.4,72.1,43.7,46,80.4
E14000737,Hayes and Harlington,143000,25538,511.1,2.1,8,28.3,34.8,53.2,73.6,31.5
E14000738,Hazel Grove,145000,27340,527.4,1.6,11.5,16,29.9,54.2,64,71.4
E14000739,Hemel Hempstead,145000,29697,552.9,1.6,15.5,34.4,25.2,27.8,26,57.6
E14000740,Hemsworth,145000,21884,442,2,19.4,10.2,92.6,11.7,29.1,59.5
E14000741,Hendon,145000,28513,536.6,1.8,24.2,63.9,47.7,62,13.4,79
E14000742,Henley,145000,34202,664.6,0.5,11.3,90.2,13.1,13.4,46.9,70.6
E14000743,Hereford and South Heref,145000,22530,423,0.8,19.7,19.8,43.4,95.7,94.1,81
E14000744,Hertford and Stortford,147000,30680,575,0.9,12.6,30.1,85.4,0.2,42.4,47
E14000745,Hertsmere,147500,x,515.8,1.4,10.8,21.4,69.2,88.8,50.6,9.9
E14000746,Hexham,147500,30359,582.6,1.2,17.9,86,58.1,83.5,13.4,23.2
E14000747,Heywood and Middleton,147500,24533,485,1.8,13.6,10.3,3.3,85.3,23,37.5
E14000748,High Peak,148000,26664,508.5,1.4,23.2,86.2,98.7,19,26.1,83.9
E14000749,Hitchin and Harpenden,148250,x,726.8,0.9,9,62.8,86.6,47.9,2,58.1
E14000750,Holborn and St Pancras,149000,35967,691.4,2,12.3,11,8.6,17.1,44.7,29.2
E14000751,Hornchurch and Upminster,149950,30365,616.3,1.7,19.3,95.3,94.2,65.3,82.9,33.5
E14000752,Hornsey and Wood Green,149995,38320,686.5,2.2,17.3,9.6,54.9,75.4,63.7,86.2
E14000753,Horsham,150000,32662,611.6,0.7,12.3,61,3.4,55.4,20.7,8.5
E14000754,Houghton and Sunderland,150000,24967,470.2,2.9,21.4,41.3,86.9,4.2,65,51.9
E14000755,Hove,150000,x,502.3,1.8,18.6,99.6,63.5,73.1,85.4,86.5
E14000756,Huddersfield,150000,24165,448.4,3.6,19.5,30.6,62.4,20.7,69.6,79.8
E14000757,Huntingdon,150000,29084,552.8,0.8,24.3,35.8,74.8,52.1,88.2,63.6
E14000758,Hyndburn,150000,x,429,1.8,17.2,52.8,31.5,95.9,8.9,23.7
E14000759,Ilford North,150000,32663,614,1.7,23.4,56.5,31.2,18.2,8.3,79.9
E14000760,Ilford South,151498,31942,598.8,2.3,29.5,19,89.3,12.6,29,13
E14000761,Ipswich,152500,25508,473.9,2.4,26.7,14.7,10.6,42.7,66.9,68.8
E14000762,Isle of Wight,153250,25786,459.5,2.2,21.4,87.7,32.2,88.6,11.6,54.5
E14000763,Islington North,153500,34060,617,2.9,31.5,55.3,6.5,19.4,68.6,64.8
E14000764,Islington South and Fins,154000,x,719.5,2.2,14.1,45.3,25.7,80.1,73.7,18.6
E14000765,Jarrow,155000,24196,474.9,3.6,18.5,30.4,9.5,26.2,77.2,38.1
E14000766,Keighley,155000,25214,493.4,2.3,23.9,20.8,82.1,68.9,81.1,47.5
E14000767,Kenilworth and Southam,155000,30570,577.7,0.5,11.5,53.8,70.4,37.5,97.9,16.6
E14000768,Kensington,155000,x,848.2,1.7,10.3,5.4,31.6,24.6,25.5,36.8
E14000769,Kettering,155000,26814,531.3,1.8,21.6,59.3,24.1,81.1,75.4,31.3
E14000770,Kingston and Surbiton,155000,35448,670.2,1.2,14.4,99.5,50.1,96.7,58.6,34.5
E14000771,Kingston upon Hull East,155569,22234,451.6,4.6,14.8,59.1,3.2,78.6,95,83.1
E14000772,Kingston upon Hull North,156000,21935,417.9,4.4,22.8,28.1,47.6,25.2,7,16.6
E14000773,Kingston upon Hull West,156000,22580,440.6,5.1,24.4,67.6,52.2,22.1,53.5,59.9
E14000774,Kingswood,156000,26470,524.8,1.2,13.7,62.9,3.2,30.3,35.4,49.1
E14000775,Knowsley,157000,23571,461.5,2.9,19.3,98.3,27.7,76,34.9,40.3
E14000776,Lancaster and Fleetwood,157000,28864,536.2,1.5,26.7,76.9,12.6,79.8,77.3,77.5
E14000777,Leeds Central,157500,22726,425.5,4.9,21.5,55.5,42.6,18.3,1,80.2
E14000778,Leeds East,157500,22449,432,4.8,26.3,57.4,83.8,70.5,40.9,27.2
E14000779,Leeds North East,157500,27319,535.7,2.6,24.9,41.4,37.5,30.2,2.3,88.9
E14000780,Leeds North West,158000,28027,531.1,1.6,14.2,40.4,5,21.7,91.7,32.4
E14000781,Leeds West,158000,23341,453,4.1,23.7,19.2,96.6,18.9,22.3,92.7
E14000782,Leicester East,158000,20327,391.1,2.6,26.1,73.4,50.3,22.4,24.1,81.4
E14000783,Leicester South,159000,23286,431.3,2.8,22.9,23.4,28.6,25.8,16.8,28.2
E14000784,Leicester West,159000,21866,405.5,3.4,23.9,51.2,41.1,35.1,62.7,41.6
E14000785,Leigh,159000,26249,486.9,2.1,14.3,47.9,86.4,46.3,31.3,40.5
E14000786,Lewes,160000,29006,569.6,1.3,20.9,42,70.2,88.1,68.9,3.9
E14000787,Lewisham East,160000,30555,604.6,3,24.2,36.8,25.4,51,1.7,20.4
E14000788,Lewisham West and Penge,160000,33794,668.8,2.8,20.9,14.2,12.7,62.6,7.7,63.4
E14000789,"Lewisham, Deptford",160000,33176,591.8,2.9,23.7,86.5,6.7,57.3,88.6,96.3
E14000790,Leyton and Wanstead,160000,27651,550,2.4,25.9,42.6,91.9,35.9,94.5,85.9
E14000791,Lichfield,160000,30414,588.7,0.7,13.8,60.7,28.3,89.9,27.9,1.2
E14000792,Lincoln,160000,24315,456.8,2.6,25.3,0.9,36,87,48.4,92.1
E14000793,"Liverpool, Riverside",160000,26315,505.7,2.9,20.1,56.6,60.3,96.7,94.4,72.2
E14000794,"Liverpool, Walton",160000,22122,454.7,4.1,43.1,8.8,28.7,10.9,62,42.4
E14000795,"Liverpool, Wavertree",160000,27828,530.5,3.9,33.3,55.4,30.2,40.4,39.2,64.4
E14000796,"Liverpool, West Derby",161000,25312,454.1,3.6,47.3,48.1,82.7,73.2,66.2,22.5
E14000797,Loughborough,162000,29107,538.4,1,11.8,50,10.6,19.3,93.1,94.3
E14000798,Louth and Horncastle,162000,24111,475.6,1.9,18.1,20.2,27.1,49.6,85.4,25.1
E14000799,Ludlow,162000,26983,514.9,1,12.3,51.6,52.5,76,53.5,37.5
E14000800,Luton North,162000,24839,467.4,2,39.3,10.5,9.4,37,51.8,25
E14000801,Luton South,162500,27242,496.7,2.2,12.5,50.6,29.9,9.5,91.3,49.8
E14000802,Macclesfield,162800,29768,562.4,1.3,19.5,44.4,70.6,5.1,27.4,29.1
E14000803,Maidenhead,163000,36841,665.4,0.8,9.9,31.9,44.1,14.5,25.9,14.6
E14000804,Maidstone and The Weald,163000,28499,511.2,1.2,28.2,69,22.1,47.5,58.1,94
E14000805,Makerfield,163000,25673,500,1.5,21.1,41.9,35.8,10.8,94.7,93
E14000806,Maldon,163000,30774,585.4,1,16.6,99,23.7,31.2,9.2,8.7
E14000807,Manchester Central,165000,22689,442.6,2.9,16.6,55,44.8,34.9,99.7,73.1
E14000808,"Manchester, Gorton",165000,23689,452.6,3,23.1,20.9,91,69.6,23.5,15.3
E14000809,"Manchester, Withington",165000,29446,574.3,1.9,31.8,32.1,64,1.1,59.3,44.3
E14000810,Mansfield,165000,22275,423.4,2.6,21,28.5,1.9,75.6,53.4,3.8
E14000811,Meon Valley,165000,32868,622.5,0.8,9.7,72.1,92.1,81.1,5,56.2
E14000812,Meriden,165000,28277,583.9,2.6,14.7,22,57,67.9,2.4,15.6
